,transformed_text,target
53,wow never realiz embarass accomod thought like sinc best could alway seem happi sorri give sorri offer sorri room embarass,0
54,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,1
55,know mallika sherawat yesterday find lt url gt,0
56,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss,1
57,sorri call later meet,0
58,tell reach,0
59,ye gauti sehwag odi seri,0
60,gon na pick 1 burger way home ca even move pain kill,0
61,ha ha ha good joke girl situat seeker,0
62,part check iq,0
63,sorri roommat took forev ok come,0
64,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,0
65,valu custom pleas advis follow recent review mob award bonu prize call 09066364589,1
66,today dedic day song u dedic send ur valuabl frnd first rpli,0
67,urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj,1
68,hear new come ken stuff,1
69,plane give month end,0
70,wah lucki man save money hee,0
71,finish class,0
72,hi babe im home wan na someth xx,0
73,k k perform,0
74,u call,0
75,wait machan call free,0
76,that cool gentleman treat digniti respect,0
77,like peopl much shi pa,0
78,oper lt gt,0
79,still look job much ta earn,0
80,sorri call later,0
81,call ah,0
82,ok way home hi hi,0
83,place man,0
84,yup next stop,0
85,call later network urgnt sm,0
86,real u get yo need 2 ticket one jacket done alreadi use multi,0
87,ye start send request make pain came back back bed doubl coin factori got ta cash nitro,0
88,realli still tonight babe,0
89,ela il download come wen ur free,0
90,yeah stand close catch someth,0
91,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri,0
92,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile,0
93,pleas call custom servic repres 0800 169 6031 guarante cash prize,1
94,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi,0
95,free rington wait collect simpli text password 85069 verifi get usher britney fml,1
96,watch telugu movi wat abt u,0
97,see finish load loan pay,0
98,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham,0
99,pleas text anymor noth els say,0
100,okay name ur price long legal wen pick u ave x am xx,0
101,still look car buy gone 4the drive test yet,0
103,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,0
104,umma life vava umma love lot dear,0
105,thank lot wish birthday thank make birthday truli memor,0
106,aight hit get cash,0
107,would ip address test consid comput minecraft server,0
108,know grumpi old peopl mom like better lie alway one play joke,0
109,dont worri guess busi,0
110,plural noun research,0
111,go,0
112,ok wif co like 2 tri new thing scare u dun like mah co u said loud,0
113,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm,1
114,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen,0
115,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went,0
116,winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim,1
117,goodo ye must speak friday ratio tortilla need,0
118,hmm uncl inform pay school directli pl buy food,0
119,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,1
120,urgent mobil award bonu caller prize final tri contact u call landlin 09064019788 box42wr29c 150ppm,1
121,new address pair malarki,0
122,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,1
123,go sao mu today done 12,0
124,ìï predict wat time finish buy,0
125,good stuff,0
126,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,0
127,room,0
128,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0
129,k k much cost,0
130,home,0
131,dear call accomod,0
132,first answer question,0
133,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron,1
134,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 150p,1
135,haf msn yiju,0
136,call meet,0
137,check room befor activ,0
138,rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri,1
139,got c lazi type forgot lect saw pouch like v nice,0
140,k text way,0
141,sir wait mail,0
142,swt thought get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8,0
143,know pl open back,0
144,ye see ya dot,0
145,what staff name take class us,0
146,freemsg repli text randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end,1
147,call check life begin qatar pl pray hard,0
148,k delet contact,0
149,sindu got job birla soft,0
150,wine flow never,0
151,yup thk cine better co need 2 go 2 plaza mah,0
152,ok ur typic repli,0
154,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one,0
155,aaooooright work,0
156,leav hous,0
157,hello love get interview today happi good boy think miss,0
158,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri,1
159,winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810,1
160,keep safe need miss alreadi envi everyon see real life,0
161,new car hous parent new job hand,0
162,love excit day spend make happi,0
163,stop bootydeli invit friend repli see stop send stop frnd 62468,1
164,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil menu,1
165,place ur point e cultur modul alreadi,0
166,urgent tri contact last weekend draw show prize guarante call claim code s89 valid 12hr,1
167,hi frnd best way avoid missunderstd wit belov one,0
168,great escap fanci bridg need lager see tomo,0
169,ye complet form clark also utter wast,0
170,sir need axi bank account bank address,0
171,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,0
172,time come later,0
173,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,0
174,well gon na finish bath good fine night,0
175,let know got money carlo make call,0
176,u still go mall,0
177,turn friend stay whole show wo back til lt gt feel free go ahead smoke lt gt worth,0
178,text doesnt repli let know log,0
179,hi spoke maneesha like know satisfi experi repli toll free ye,0
180,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,0
181,lol u trust,0
182,gentleman treat digniti respect,0
183,guy close,0
184,go noth,0
185,hello handsom find job lazi work toward get back net mummi boytoy miss,0
186,haha awesom minut,0
187,pleas call custom servic repres freephon 0808 145 4742 guarante cash prize,1
188,got xma radio time get,0
189,ju reach home go bath first si use net tell u finish k,0
190,uniqu enough find 30th august,1
191,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great,0
192,hi final complet cours,0
193,stop howev suggest stay someon abl give or everi stool,0
194,hope settl new school year wishin gr8 day,0
195,gud mrng dear hav nice day,0
196,u got person stori,0
197,hamster dead hey tmr meet 1pm orchard mrt,0
198,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,0
199,found enc lt gt,0
200,sent lt gt buck,0
201,hello darlin ive finish colleg txt u finish u love kate xxx,0
202,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,0
203,goodmorn sleep ga,0
204,u call alter 11 ok,0
205,ìï say like dat dun buy ericsson oso oredi lar,0
207,aight yo dat straight dogg,0
208,pleas give us connect today lt decim gt refund bill,0
209,shoot big load get readi,0
210,bruv hope great break reward semest,0
211,home alway chat,0
212,k k good studi well,0
213,yup noe leh,0
214,sound great home,0
215,final match head toward draw predict,0
216,tire slept well past night,0
217,easi ah sen got select mean good,0
218,take exam march 3,0
219,yeah think use gt atm regist sure anyway help let know sure readi,0
220,ok prob take ur time,0
221,os call ubandu run without instal hard disk use os copi import file system give repair shop,0
223,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,0
224,500 new mobil 2004 must go txt nokia 89545 collect today 2optout,1
225,would realli appreci call need someon talk,0
226,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign horo ari,1
227,hey compani elama po mudyadhu,0
228,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,0
229,dear good morn,0
230,get gandhipuram walk cross cut road right side lt gt street road turn first right,0
231,dear go rubber place,0
232,sorri batteri die yeah,0
233,ye tv alway avail work place,0
234,text meet someon sexi today u find date even flirt join 4 10p repli name age eg sam 25 18 recd thirtyeight penc,1
235,print oh lt gt come upstair,0
236,ill littl closer like bu stop street,0
237,wil reach,0
238,new theori argument win situat lose person dont argu ur friend kick amp say alway correct,0
239,u 447801259231 secret admir look 2 make contact r reveal think ur 09058094597,1
240,tomarrow final hear laptop case cant,0
241,pleassssssseeeee tel v avent done sportsx,0
242,okay shine meant sign sound better,0
243,although told u dat baig face watch realli like e watch u gave co fr thanx 4 everyth dat u done today touch,0
244,u rememb old commerci,0
245,late said websit dont slipper,0
246,ask call ok,0
247,kalli wont bat 2nd inning,0
248,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep,0
249,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc,1
250,ranjith cal drpd deeraj deepak 5min hold,0
251,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,0
252,,0
253,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff,0
254,back lem know readi,0
255,necessarili expect done get back though headin,0
256,mmm yummi babe nice jolt suzi,0
257,lover need,0
258,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,1
259,park next mini come today think,0
260,yup,0
261,anyway go shop co si done yet dun disturb u liao,0
262,luton 0125698789 ring ur around h,0
263,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698,1
264,dint come us,0
265,wana plan trip sometm,0
266,sure yet still tri get hold,0
267,ur rington servic chang 25 free credit go choos content stop txt club stop 87070 club4 po box1146 mk45 2wt,1
268,evo download flash jealou,0
269,rington club get uk singl chart mobil week choos top qualiti rington messag free charg,1
270,come mu sort narcot situat,0
271,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,0
272,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info,1
273,usf guess might well take 1 car,0
274,object bf come,0
275,thanx,0
276,tell rob mack gf theater,0
277,awesom see bit,0
278,sent type food like,0
279,done hand celebr full swing yet,0
280,got call tool,0
281,u miss someon,0
282,ask money far,0
283,oki,0
284,yeah think usual guy still pass last night get ahold anybodi let know throw,0
285,k might come tonight class let earli,0
286,ok,0
287,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx,0
288,life mean lot love life love peopl life world call friend call world ge,0
289,dear shall mail street shall updat look edukkukaye raksha good one real sens,0
290,hey told name gautham ah,0
291,haf u found feel stupid da v cam work,0
292,oop 4 got bit,0
293,much buzi,0
294,accident delet messag resend pleas,0
295,custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 end c appli,1
296,unless situat go gurl would appropri,0
297,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,0
298,cant pick phone right pl send messag,0
299,need coffe run tomo ca believ time week alreadi,0
300,awesom rememb last time got somebodi high first time diesel v,0
301,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi,0
302,oh way food fridg want go meal tonight,0
303,womdarful actor,0
304,sm ac blind date 4u rodds1 aberdeen unit kingdom check http sm blind date send hide,1
305,yup remb think book,0
306,jo ask u wana meet,0
307,lol ye friendship hang thread caus u wo buy stuff,0
308,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468,1
309,garag key bookshelf,0
310,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,0
311,think ur smart win week weekli quiz text play 85222 cs winnersclub po box 84 m26 3uz,1
312,say give call friend got money definit buy end week,0
313,hi way u 2day normal way real ur uniqu hope know u 4 rest mylif hope u find wot lost,0
314,made day great day,0
315,advanc happi pongal,0
316,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,0
317,realli dude friend afraid,0
318,decemb mobil entitl updat latest colour camera mobil free call mobil updat co free 08002986906,1
319,coffe cake guess,0
320,merri christma babe love ya kiss,0
321,hey dont go watch x men lunch haha,0
322,cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 pete x,0
323,would great guild could meet bristol road somewher get touch weekend plan take flight good week,0
324,problem,0
326,hi da today class,0
327,say good sign well know track record read women,0
328,cool text park,0
329,read text sent meant joke read light,0
330,apo movi,0
331,mayb could get book tomo return immedi someth,0
332,call germani 1 penc per minut call fix line via access number 0844 861 85 prepay direct access,1
333,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor,0
334,valentin day special win quiz take partner trip lifetim send go 83600 rcvd,1
335,home babe still,0
336,cool come havent wine dine,0
337,sleep surf,0
339,u call right call hand phone,0
340,ok great thanx lot,0
341,take post come must 1000 text happi read one wiv hello carolin end favourit bless,0
342,u hide stranger,0
343,interest like,0
344,sister clear two round birla soft yesterday,0
345,gudnit tc practic go,0
346,di yiju ju saw ur mail case huim havent sent u num di num,0
347,one small prestig problem,0
348,fanci shag txt xxuk suzi txt cost per msg tnc websit x,1
349,check realli miss see jeremiah great month,0
350,nah ca help never iphon,0
351,car hour half go apeshit,0
352,today sorri ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good,0
353,yo guy ever figur much need alcohol jay tri figur much safe spend weed,0
354,lt gt ish minut 5 minut ago wtf,0
355,thank say happi onam fine rememb met insur qatar insha ex tata aig join tissco tayseer,0
357,ur current 500 pound maxim ur send cash 86688 cc 08708800282,1
358,actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday,0
359,hello got st long way cold keep post,0
360,ha ha cool cool chikku chikku,0
361,oh ok prob,0
362,check audrey statu right,0
363,busi tri finish new year look forward final meet,0
364,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,0
365,well know z take care worri,0
366,xma offer latest motorola sonyericsson nokia free bluetooth doubl min 1000 txt orang call mobileupd8 08000839402,1
367,discount code rp176781 stop messag repli stop custom servic 08717205546,1
368,wat uniform get,0
369,cool text readi,0
370,hello boytoy geeee miss alreadi woke wish bed cuddl love,0
371,spoil bed well,0
372,go bath msg next lt gt min,0
373,cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,0
374,thank rington order refer t91 charg gbp 4 per week unsubscrib anytim call custom servic 09057039994,1
375,say happen,0
376,could seen recognis face,0
377,well lot thing happen lindsay new year sigh bar ptbo blue heron someth go,0
378,keep payasam rinu bring,0
379,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,0
380,guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri keep followin,0
381,yeah sure give coupl minut track wallet,0
382,hey leav big deal take care,0
383,hey late ah meet,0
384,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402,1
385,took mr owl 3 lick,0
386,custom place call,0
387,mm time dont like fun,0
388,4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt,1
389,yup lunch buffet u eat alreadi,0
390,huh late fr dinner,0
391,hey sat go intro pilat kickbox,0
392,morn ok,0
393,ye think offic lap room think that last day didnt shut,0
394,pick bout time go,0
395,perform award calcul everi two current one month period,0
396,actual sleep still might u call back text gr8 rock si send u text wen wake,0
397,alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat,0
398,good even sir al salam happi grace god got offer tayseer tissco allah meet visitor india,0
399,hmmm k want chang field quickli da wan na get system administr network administr,0
400,free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone txt stop,1
401,dear chechi talk,0
402,hair cream ship,0
403,none happen til get though,0
404,yep great loxahatche xma tree burn lt gt start hour,0
405,haha get use drive usf man know lot stoner,0
406,well slightli disastr class pm fav darl hope day coffe wld good ca stay late tomorrow time place alway,0
407,hello good week fanci drink someth later,0
408,headin toward busetop,0
409,messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via,0
410,come room point iron plan weekend,0
411,co want thing,0
412,oki go yan jiu skip ard oso go cine den go mrt one blah blah blah,0
413,bring home wendi,0
414,100 date servic cal l 09064012103 box334sk38ch,1
415,whatsup dont u want sleep,0
416,alright new goal,0
417,free entri weekli competit text word win 80086 18 c,1
418,alright head minut text meet,0
419,send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,1
420,ye last week take live call,0
421,someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p,1
422,siva hostel aha,0
423,urgent mobil number award prize guarante call 09058094455 land line claim valid 12hr,1
424,send ur friend receiv someth ur voic speak express attitud lt gt lt gt repli,0
425,guess,0
426,aathi dear,0
427,pain urin thing els,0
428,7 esplanad mind give lift co got car today,0
429,wnt buy bmw car urgent vri hv shortag lt gt sourc arng di amt lt gt lac that prob,0
430,home watch tv lor,0
431,usual take fifteen fuck minut respond ye question,0
432,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil close 300603 post bcm4284 ldn wc1n3xx,1
433,book ticket pongal,0
434,avail like right around hillsborough amp lt gt th,0
435,messag sent askin lt gt dollar shoul pay lt gt lt gt,0
436,ask g iouri told stori like ten time alreadi,0
437,long applebe fuck take,0
438,hi hope u get hasnt gd 50 min late think,0
439,like love arrang,0
440,ye realli great bhaji told kalli best cricket sachin world tough get,0
441,suppos wake gt,0
442,oic saw tot din c found group liao,0
444,hey wereth monkeespeopl say monkeyaround howdi gorgeou,0
445,sorri batteri die come get gram place,0
446,well done blimey exercis yeah kinda rememb wot hmm,0
447,wont get concentr dear know mind everyth,0
448,lol made plan new year,0
449,10 min later k,0
450,hank lotsli,0
451,thank hope good day today,0
452,k k detail want transfer acc enough,0
453,ok tell stay yeah tough optimist thing improv month,0
454,loan purpos homeown tenant welcom previous refus still help call free 0800 1956669 text back,1
455,si si think ill go make oreo truffl,0
456,look ami ure beauti intellig woman like u lot know u donåõt like like donåõt worri,0
457,hope result consist intellig kind start ask practicum link keep ear open best ttyl,0
458,call cost guess isnt bad miss ya need ya want ya love ya,0
459,go thru differ decis cope heal everyth believ,0
460,u go phone gon na die stay,0
461,great never better day give even reason thank god,0
462,upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 offer end 26th juli c appli avail,1
463,sorri call later ok bye,0
464,ok way railway,0
465,great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night,0
466,put stuff road keep get slipperi,0
467,go ride bike,0
468,yup need ju wait 4 e rain 2 stop,0
469,mani compani tell languag,0
470,okmail dear dave final notic collect 4 tenerif holiday 5000 cash award call 09061743806 landlin tc sae box326 cw25wx 150ppm,1
471,long sinc scream princess,0
472,noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also sure trust 9ja person send account detail co,0
473,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network txting moan 69888nyt ec2a 150p,1
474,nice line said broken plz cum 1 time infront wise trust u good 9t,0
475,ok gon na head usf like fifteen minut,0
476,love aathi love u lot,0
477,tension ah machi problem,0
478,k pick anoth 8th done,0
479,guy get back g said think stay mcr,0
480,almost see u sec,0
481,yo carlo friend alreadi ask work weekend,0
482,watch tv lor,0
483,thank babi cant wait tast real thing,0
484,chang fb jaykwon thuglyf falconerf,0
485,win realli 1 side long time,0
486,free messag activ 500 free text messag repli messag word free term condit visit,1
487,dear reach railway happen,0
488,depend qualiti want type sent boy fade glori want ralph mayb 2,0
489,think fix send test messag,0
490,sorri man account dri would want could trade back half could buy shit credit card,0
491,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss,1
492,sorri meet call later,0
493,class lt gt reunion,0
494,free call,0
495,got meh,0
496,nope think go monday sorri repli late,0
497,told accentur confirm true,0
498,kate jackson rec center 7ish right,0
499,dear reach room,0
500,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,0
501,come,0
502,check nuerologist,0
503,lolnic went fish water,0
504,congratul week competit draw u prize claim call 09050002311 b4280703 sm 18 150ppm,1
505,wait e car dat bore wat co wait outsid got noth 2 home stuff watch tv wat,0
506,mayb westshor hyde park villag place near hous,0
507,know anthoni bring money school fee pay rent stuff like that need help friend need,0
508,signific,0
509,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli,0
510,8 latest g still scroung ammo want give new ak tri,0
511,prabha soryda reali frm heart sori,0
512,lol ok forgiven,0
513,jst chang tat,0
514,guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h,1
515,competit,0
516,boltblu tone 150p repli poli mono eg poly3 cha cha slide yeah slow jamz toxic come stop 4 tone txt,1
517,credit top http renew pin tgxxrz,1
518,way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri,0
519,usual person unconsci children adult may behav abnorm call,0
520,ebay might less elsewher,0
521,shall come get pickl,0
522,gon na go get taco,0
523,rude campu,0
524,urgent mobil award bonu caller prize 2nd attempt contact call box95qu,1
525,hi wo b ard 4 christma enjoy n merri,0
526,today offer claim ur worth discount voucher text ye 85023 savamob member offer mobil cs sub 16 unsub repli x,1
527,ye pretti ladi like singl,0
528,reciev tone within next 24hr term condit pleas see channel u teletext pg 750,1
529,jay say,0
530,privat 2003 account statement 07815296484 show 800 point call 08718738001 identifi code 41782 expir,1
531,sunday holiday work,0
533,late,0
534,call hope l8r malaria know miss guy miss bani big pl give love especi great day,0
535,good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea,0
536,probabl gon na see later tonight lt,0
537,mayb fat finger press button know,0
538,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear,0
539,tirupur da start offic call,0
540,monthlysubscript csc web age16 2stop txt stop,1
541,famou quot develop abil listen uncondit without lose temper self confid mean,0
542,go colleg els ill come self pa,0
543,4 oclock mine bash flat plan,0
544,girl stay bed girl need recoveri time id rather pass fun coop bed,0
545,special,0
546,know need get hotel got invit apologis cali sweet come english bloke weddin,0
547,sorri took long omw,0
548,wait lt gt min,0
549,ok give 5 minut think see btw alibi cut hair whole time,0
550,imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck,0
551,hurri like three day,0
552,sure get acknowledg astoundingli tactless gener faggi demand blood oath fo,0
553,everi night take warm bath drink cup milk see work magic still need loos weight know,0
554,look fri pan case cheap book perhap silli fri pan like book,0
555,well uv caus mutat sunscreen like essenti theseday,0
556,lunch onlin,0
557,know friend alreadi told,0
558,hi princess thank pic pretti,0
559,aiyo u alway c ex one dunno abt mei repli first time u repli fast lucki workin huh got bao ur sugardad ah gee,0
560,hi msg offic,0
561,thanx 4 e browni v nice,0
562,geeeee love much bare stand,0
563,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm,1
564,fuck babe miss alreadi know ca let send money toward net need want crave,0
565,ill call u 2mrw ninish address icki american freek wont stop callin 2 bad jen k eh,0
566,oooh bed ridden ey think,0
567,anyway go gym whatev love smile hope ok good day babe miss much alreadi,0
568,love daddi make scream pleasur go slap ass dick,0
569,wot u wan na missi,0
570,yar lor wait 4 mum 2 finish sch lunch lor whole morn stay home clean room room quit clean hee,0
571,know lab goggl went,0
572,open door,0
573,wait call,0
574,nope wait sch 4 daddi,0
575,cash prize claim call09050000327,1
576,tire argu week week want,0
577,ìï wait 4 sch finish ard 5,0
578,mobil number claim call us back ring claim hot line 09050005321,1
579,arngd marriag u r walkin unfortuntli snake bite bt love marriag danc frnt snake amp sayin bite bite,0
580,huh earli dinner outsid izzit,0
581,ok anyway need chang said,0
582,tri contact repli offer 750 min 150 textand new video phone call 08002988890 repli free deliveri tomorrow,1
583,abl kid want kid one day,0
584,scotland hope show jjc tendenc take care live dream,0
585,tell u headach want use 1 hour sick time,0
586,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den,0
587,pleas ring meiv hardli gotani,0
588,ya srsli better yi tho,0
589,meet call later,0
590,ur chanc win wkli shop spree txt shop c custcar 08715705022,1
591,special select receiv 2000 pound award call 08712402050 line close cost 10ppm cs appli ag promo,1
592,privat 2003 account statement 07753741225 show 800 point call 08715203677 identifi code 42478 expir,1
593,still grand prix,0
594,met stranger choos friend long world stand friendship never end let friend forev gud nitz,0
595,great,0
596,gud mrng dear nice day,0
597,import custom servic announc call freephon 0800 542 0825,1
598,exhaust train morn much wine pie sleep well,0
599,go buy mum present ar,0
600,mind blastin tsunami occur rajnik stop swim indian ocean,0
601,u send home first ok lor readi yet,0
602,speak cash yet,0
603,happi come noon,0
604,meet lunch la,0
605,take care n get well soon,0
606,xclusiv clubsaisai 2morow soire special zouk nichol rose 2 ladi info,1
607,meant say cant wait see u get bore bridgwat banter,0
608,neva mind ok,0
609,fine imma get drink somethin want come find,0
610,22 day kick euro2004 u kept date latest news result daili remov send get txt stop 83222,1
611,valentin game send di msg ur friend 5 answer r someon realli love colour suit best rpli,0
612,mani depend,0
613,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u,0
614,call said choos futur,0
615,valentin know earli hundr handsom beauti wish thought finish aunti uncl 1st,0
616,like v shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor,0
617,famili happi,0
618,come n pick come immedi aft ur lesson,0
619,let snow let snow kind weather bring ppl togeth friendship grow,0
620,dear got lt gt dollar hi hi,0
621,good word word may leav u dismay mani time,0
